,name/ pos- ref- alt
372,SRR2100936
373,ERR550803
374,SRR1165260
375,SRR1163341
376,SRR1172792
377,SRR1173404
378,SRR1172339
379,ERR181803
380,SRR2101275
381,SRR1144830
382,SRR1165530
383,SRR2100693
384,ERR227988
385,SRR1173271
386,SRR2100989
387,SRR1163366
388,SRR1172075
389,SRR2101546
390,ERR1213867
391,SRR2101367
392,ERR037552
393,SRR1181247
394,ERR176800
395,ERR551893
396,SRR1735691
397,ERR1035230
398,SRR1159108
399,SRR2101265
400,SRR1169001
401,ERR212030
402,ERR1035002
403,ERR551198
404,SRR1169473
405,SRR2100151
406,ERR181676
407,ERR1035296
408,ERR1213923
409,SRR2101342
410,ERR161180
411,SRR2100996
412,SRR1049746
413,ERR181876
414,SRR3675253
415,SRR2100326
416,ERR181970
417,ERR126636
418,SRR1162537
419,ERR551514
420,ERR036243
421,SRR1166109
422,SRR2100290
423,ERR1213849
424,SRR1165631
425,ERR1035007
426,SRR671779
427,ERR1035273
428,ERR036208
429,ERR552973
430,ERR551051
431,ERR551781
432,ERR551554
433,SRR1173781
434,ERR190408
435,SRR1167169
436,ERR867533
437,SRR1167347
438,SRR1169500
439,SRR1172711
440,ERR1035297
441,ERR036221
442,SRR1165715
443,ERR164023
444,SRR1172060
445,ERR229997
446,ERR161107
447,ERR229986
448,SRR2101475
449,SRR1013601
450,SRR1062910
451,SRR1175072
452,SRR2101000
453,ERR245799
454,SRR833017
455,SRR832994
456,SRR671869
457,ERR190374
458,SRR3675257
459,SRR2100430
460,SRR1169226
461,SRR998680
462,SRR1163175
463,SRR1169590
464,ERR552561
465,SRR2101186
466,ERR176653
467,SRR1048867
468,ERR551290
469,ERR551987
470,ERR551744
471,SRR2101061
472,SRR1146352
473,SRR2101393
474,ERR181772
475,ERR550890
476,SRR1049628
477,SRR1172724
478,SRR3675218
479,ERR550880
480,ERR126616
481,ERR550914
482,SRR2100284
483,ERR221601
484,SRR1173503
485,ERR221571
486,SRR1163351
487,ERR2145510
488,ERR551512
489,ERR2145504
490,ERR176775
491,ERR181998
492,ERR182018
493,SRR2101174
494,SRR1165589
495,SRR1049751
496,ERR181893
497,SRR2100091
498,SRR1049661
499,ERR212006
500,SRR1169209
501,SRR2100841
502,SRR1180278
503,SRR2101099
504,ERR550894
505,ERR181812
506,ERR1034678
507,SRR1167341
508,SRR1172322
509,ERR161036
510,SRR2100293
511,SRR1049564
512,SRR2101608
513,ERR161092
514,ERR867531
515,SRR998613
516,SRR2101808
517,ERR126632
518,SRR1013613
519,SRR1165536
520,SRR1173211
521,SRR1163422
522,ERR552658
523,SRR1165721
524,SRR1735641
525,SRR2101695
526,SRR2101126
527,SRR1159393
528,ERR221606
529,SRR1162812
530,ERR181822
531,SRR1011511
532,ERR2124079
533,ERR037509
534,SRR1163373
535,SRR1163177
536,ERR551802
537,ERR1213831
538,ERR552347
539,ERR1873428
540,ERR212105
541,SRR1169144
542,SRR3675525
543,SRR1146319
544,ERR552113
545,SRR847777
546,SRR1159283
547,SRR1173724
548,ERR551165
549,SRR1163036
550,SRR1163347
551,ERR551220
552,SRR1181071
553,ERR1213912
554,SRR3675458
555,SRR2100610
556,SRR3675262
557,ERR163938
558,ERR176529
559,SRR1049685
560,SRR1163398
561,SRR3675530
562,SRR2100741
563,ERR181700
564,SRR1019139
565,SRR2100928
566,SRR1169187
567,ERR1034846
568,ERR552064
569,SRR1169576
570,SRR1144747
571,SRR2100057
572,SRR2099995
573,SRR1173448
574,ERR553174
575,SRR1013573
576,ERR161101
577,SRR2100158
578,SRR1019142
579,SRR2101515
580,SRR2101024
581,ERR164018
582,ERR1035270
583,SRR3675226
584,ERR036204
585,SRR2100461
586,SRR1163349
587,ERR551664
588,ERR2145500
589,SRR1165263
590,ERR552790
591,SRR2100879
592,ERR181808
593,ERR133804
594,ERR400517
595,ERR1034974
596,ERR161032
597,SRR2101364
598,SRR1146334
599,SRR1162887
600,SRR2100376
601,ERR2124084
602,SRR1184347
603,ERR552834
604,ERR553307
605,SRR1166866
606,ERR552649
607,SRR1173514
608,SRR2101494
609,SRR1163006
610,ERR1035266
611,ERR1034967
612,SRR1162481
613,SRR671765
614,SRR2101756
615,SRR1165394
616,SRR2100584
617,ERR552381
618,ERR036193
619,ERR551596
620,SRR1167284
621,SRR2100833
622,SRR1146306
623,SRR1173353
624,SRR2100203
625,SRR998813
626,SRR2101060
627,ERR550915
628,ERR1873436
629,SRR2100783
630,SRR2100262
631,SRR1180269
632,ERR181994
633,SRR1144786
634,ERR245723
635,ERR550981
636,SRR2100087
637,SRR998841
638,SRR1180143
639,ERR176726
640,SRR1163105
641,ERR552326
642,SRR1163030
643,SRR1165593
644,SRR2100837
645,SRR1184319
646,SRR1173572
647,SRR1173736
648,SRR2100630
649,ERR553136
650,ERR1035047
651,SRR1163387
652,ERR176456
653,ERR1035163
654,ERR1035217
655,SRR1167274
656,ERR552227
657,SRR1173752
658,SRR1002694
659,ERR551750
660,ERR551022
661,SRR1735645
662,ERR1034916
